source,object_id,title,date,medium,dimensions,artist,museum,accession_number,object_url,iiif_image_url,iiif_manifest_url,license,license_url,extra
met,437216,The Fifteen Mysteries and the Virgin of the Rosary,ca. 1515–20,Oil on wood,(a) 9 7/8 x 21 in. (25.1 x 53.3 cm); (b–p) each 5 x 4 1/8 in. (12.7 x 10.5 cm),Netherlandish (Brussels) Painter,The Metropolitan Museum of Art,1987.290.3a–p,https://www.metmuseum.org/art/collection/search/437216,https://images.metmuseum.org/CRDImages/ep/original/DT5754.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-1987_290_3a-p-4.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1987_290_3a-p-5.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1987_290_3a-XRAY.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1987_290_3a-p-6.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1987_290_3a-p-7.jpg'], 'artistDisplayBio': ''}"
met,437202,Christ Bearing the Cross,,Oil on wood,42 3/8 x 32 3/8 in. (107.6 x 82.2 cm),North Netherlandish (Bruges) Painter,The Metropolitan Museum of Art,43.95,https://www.metmuseum.org/art/collection/search/437202,https://images.metmuseum.org/CRDImages/ep/original/DP-20751-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-1.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-3.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-11.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-12.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-13.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-14.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-15.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-43_95-XRAY.jpg'], 'artistDisplayBio': 'ca. 1470'}"
met,435897,Head of Christ (Ecce Homo),ca. 1445,"Oil on parchment, laid down on wood",Overall 5 7/8 x 4 1/4 in. (14.9 x 10.8 cm); parchment 5 3/4 x 4 1/8 in. (14.6 x 10.5 cm),Petrus Christus,The Metropolitan Museum of Art,60.71.1,https://www.metmuseum.org/art/collection/search/435897,https://images.metmuseum.org/CRDImages/ep/original/DT229079.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-60_71_1-XRAY.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-60_71_1-IRR.jpg'], 'artistDisplayBio': 'Netherlandish, Baarle-Hertog (Baerle-Duc), active by 1444–died 1475/76 Bruges'}"
met,437261,The Penitence of Saint Jerome,ca. 1515,Oil on wood,"Shaped top: central panel, overall, with engaged frame, 46 1/4 x 32 in. (117.5 x 81.3 cm); each wing, overall, with engaged frame, 47 1/2 x 14 in. (120.7 x 35.6 cm)",Joachim Patinir,The Metropolitan Museum of Art,36.14a–c,https://www.metmuseum.org/art/collection/search/437261,https://images.metmuseum.org/CRDImages/ep/original/DT5549.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/DT5550.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-3.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-4.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-5.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-6.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-7a.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-8a.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-9.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-10.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-11.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-12.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-13.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-14.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-15.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-16.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-17.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-36_14a-c-19.jpg'], 'artistDisplayBio': 'Netherlandish, Dinant or Bouvignes, active by 1515–died 1524 Antwerp'}"
met,436531,Peasant Woman Cooking by a Fireplace,1885,Oil on canvas,17 3/8 x 15 in. (44.1 x 38.1 cm),Vincent van Gogh,The Metropolitan Museum of Art,1984.393,https://www.metmuseum.org/art/collection/search/436531,https://images.metmuseum.org/CRDImages/ep/original/DT2163.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Zundert 1853–1890 Auvers-sur-Oise'}"
met,437061,Salvator Mundi,1480–85,Oil on wood,"Overall, with integral frame, diameter 10 3/4 in. (27.3 cm); painted surface 8 in. (20.3 cm)",Hans Memling,The Metropolitan Museum of Art,32.100.54,https://www.metmuseum.org/art/collection/search/437061,https://images.metmuseum.org/CRDImages/ep/original/DP-19586-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-32_100_54-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-32_100_54-XRAY.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-32_100_54-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-32_100_54-3.jpg'], 'artistDisplayBio': 'Netherlandish, Seligenstadt, active by 1465–died 1494 Bruges'}"
met,436102,Virgin and Child with Four Angels,ca. 1510–15,Oil on wood,24 7/8 x 15 3/8 in. (63.2 x 39.1 cm),Gerard David,The Metropolitan Museum of Art,1977.1.1,https://www.metmuseum.org/art/collection/search/436102,https://images.metmuseum.org/CRDImages/ep/original/DP-1410-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-1977_1_1-IRR_full.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1977_1_1-IRRDetail.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1977_1_1-XRAYDetail.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-1977_1_1_Xray_full.jpg'], 'artistDisplayBio': 'Netherlandish, Oudewater ca. 1455–1523 Bruges'}"
met,436803,The Adoration of the Magi,1472–74,Distemper on canvas,43 x 63 in. (109.2 x 160 cm),Justus of Ghent (Joos van Wassenhove),The Metropolitan Museum of Art,41.190.21,https://www.metmuseum.org/art/collection/search/436803,https://images.metmuseum.org/CRDImages/ep/original/DP-16339-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-3.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-5.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-9.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-10.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-13.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-17.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-20.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-25.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-26.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-27.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-41_190_21-XRAYFLAT.jpg'], 'artistDisplayBio': 'Netherlandish, active by 1460–died ca. 1480'}"
met,436526,"First Steps, after Millet",1890,Oil on canvas,28 1/2 x 35 7/8 in. (72.4 x 91.1 cm),Vincent van Gogh,The Metropolitan Museum of Art,64.165.2,https://www.metmuseum.org/art/collection/search/436526,https://images.metmuseum.org/CRDImages/ep/original/DP124808.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Zundert 1853–1890 Auvers-sur-Oise'}"
met,437984,"La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin, 1851–1930)",1889,Oil on canvas,36 1/2 × 29 in. (92.7 × 73.7 cm),Vincent van Gogh,The Metropolitan Museum of Art,1996.435,https://www.metmuseum.org/art/collection/search/437984,https://images.metmuseum.org/CRDImages/ep/original/DP-19279-001.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Zundert 1853–1890 Auvers-sur-Oise'}"
met,436099,The Nativity with Donors and Saints Jerome and Leonard,ca. 1510–15,"Oil on canvas, transferred from wood",Central panel 35 1/2 x 28 in. (90.2 x 71.1 cm); each wing 35 1/2 x 12 3/8 in. (90.2 x 31.4 cm),Gerard David,The Metropolitan Museum of Art,49.7.20a–c,https://www.metmuseum.org/art/collection/search/436099,https://images.metmuseum.org/CRDImages/ep/original/DT1476.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-49_7_20a_c-XRAY_det.jpg'], 'artistDisplayBio': 'Netherlandish, Oudewater ca. 1455–1523 Bruges'}"
met,626692,The Jabach Family,ca. 1660,Oil on canvas,110 1/4 × 129 1/8 in. (280 × 328 cm),Charles Le Brun,The Metropolitan Museum of Art,2014.250,https://www.metmuseum.org/art/collection/search/626692,https://images.metmuseum.org/CRDImages/ep/original/DP352819.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/Le brun Jabach.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/Jabach diagram.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/Jabach Berlin.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/ES3580anocap.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/serlio1nocap.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/serlio2nocap.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/DP328999.jpg'], 'artistDisplayBio': 'French, Paris 1619–1690 Paris'}"
met,439327,Christ Blessing,ca. 1500–1505,Oil on wood,"Overall, including engaged frame, 4 3/4 x 3 1/2 in. (12.1 x 8.9 cm); painted surface 3 5/8 x 2 3/8 in. (9.2 x 6 cm)",Gerard David,The Metropolitan Museum of Art,2009.415,https://www.metmuseum.org/art/collection/search/439327,https://images.metmuseum.org/CRDImages/ep/original/DP218061.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': ['https://images.metmuseum.org/CRDImages/ep/original/LC-2009_215-IRR.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-2009_215-XRAY.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/DP210244.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-2009_415-2.jpg', 'https://images.metmuseum.org/CRDImages/ep/original/LC-2009_415-3.jpg'], 'artistDisplayBio': 'Netherlandish, Oudewater ca. 1455–1523 Bruges'}"
met,437585,Market by the Seashore,1637,Oil on wood,16 x 23 3/8 in. (40.6 x 59.4 cm),Salomon van Ruysdael,The Metropolitan Museum of Art,60.55.4,https://www.metmuseum.org/art/collection/search/437585,https://images.metmuseum.org/CRDImages/ep/original/DP143181.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Dutch, Naarden, born ca. 1600–1603, died 1670 Haarlem'}"
met,437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",ca. 1636 or later,Oil on canvas,50 1/4 x 41 in. (127.6 x 104.1 cm),Juan Bautista Martínez del Mazo,The Metropolitan Museum of Art,52.125,https://www.metmuseum.org/art/collection/search/437868,https://images.metmuseum.org/CRDImages/ep/original/DP-14936-011.jpg,,CC0,https://www.metmuseum.org/about-the-met/policies-and-documents/open-access,"{'department': 'European Paintings', 'additionalImages': [], 'artistDisplayBio': 'Spanish, Cuenca ca. 1612–1667 Madrid'}"
